Particle.ID,Class,Area..ABD.,Area..Filled.,Aspect.Ratio,Calibration.Factor,Calibration.Image,Camera,Capture.X,Capture.Y,Circle.Fit,Circularity,Circularity..Hu.,Compactness,Convex.Perimeter,Convexity,Date,Diameter..ABD.,Diameter..ESD.,Diameter..FD.,Edge.Gradient,Elapsed.Time,Elongation,Feret.Angle.Max,Feret.Angle.Min,Fiber.Curl,Fiber.Straightness,Filter.Score,Geodesic.Aspect.Ratio,Geodesic.Length,Geodesic.Thickness,Image.File,Image.Height,Image.Width,Image.X,Image.Y,Intensity,Length,Original.Reference.ID,Particles.Per.Chain,Perimeter,Roughness,Sigma.Intensity,Source.Image,Sphere.Complement,Sphere.Count,Sphere.Unknown,Sphere.Volume,Sum.Intensity,Symmetry,Time,Timestamp,Transparency,Volume..ABD.,Volume..ESD.,Width,Genus,Family,Order,Nauplius,Group,Zooplankton,Partial,Final_ID,Check
1,Copepoda,106314.4446,106314.4446,0.8269,9.47,1,1,54,1275,0.2699,0.3125,0.7238,3.1999,1656.7064,0.6943,2025-10-23,367.9181,507.6971,367.9181,126.399,55.719,7.9267,50,-5,0.7306,0.5778,0,0.1262,1024.3267,129.2254,20240514_Erie_WNS096_2mm_Rep1_000002.tif,65,63,751,1177,69.5854,591.875,FD671273-255B-44A5-A03A-9369F9D81058,1,2307.1041,1.3926,55.2624,496,0,0,0,0,102708,0.0868,6:23:13,2025-10-23T06:23:13.424,0.2753,26100000,68500000,430.885,,,,No,Copepod,Yes,,,0
2,Copepoda,107037.9168,107037.9168,0.3164,9.47,1,1,895,1686,0,0.3295,0.4892,3.0345,1881.5488,0.8075,2025-10-23,369.1679,578.4589,369.1679,128.6961,80.719,7.3981,-75,20,0.1979,0.8348,0,0.1352,992.5973,134.1694,20240514_Erie_WNS096_2mm_Rep1_000003.tif,99,51,66,1017,76.2364,828.625,7AE9B4FA-1E17-4C78-8FD3-EBD35BFE77B6,1,2253.5333,1.1977,59.8553,719,0,0,0,0,113211,0.3846,6:23:38,2025-10-23T06:23:38.423,0.3618,26300000,1.01E+08,232.015,,,,No,Copepod,Yes,,,0
3,Copepoda,206479.5333,206562.3331,0.3059,9.47,1,1,292,1278,0,0.3037,0.4937,3.2928,2567.9695,0.8203,2025-10-23,512.7357,798.374,512.8385,120.203,83.844,8.2232,-40,45,0.237,0.8084,0,0.1216,1411.6027,171.6615,20240514_Erie_WNS096_2mm_Rep1_000003.tif,98,111,88,1175,68.5724,1141.135,EEF3DABF-2B90-49FC-8D16-388C342980DE,1,3166.5284,1.2331,62.4304,747,0,0,0,0,185214,0.3926,6:23:41,2025-10-23T06:23:41.561,0.3578,70600000,2.66E+08,307.775,,,,No,Copepod,Yes,,,0
4,Copepoda,83947.3295,83947.3295,0.3609,9.47,1,1,690,1121,0.1366,0.5005,0.603,1.9982,1459.3071,0.9576,2025-10-23,326.9328,444.5635,326.9328,67.6209,94.391,4.0293,-80,10,0.0284,0.9723,0,0.2482,657.4047,163.1542,20240514_Erie_WNS096_2mm_Rep1_000003.tif,80,38,351,1764,111.2584,639.225,04B75A53-C9D7-4030-9438-F36B55567413,1,1641.1179,1.1246,66.0657,841,0,0,0,0,133065,0.5567,6:23:52,2025-10-23T06:23:52.100,0.2646,18300000,4.60E+07,203.605,,,,No,Copepod,Yes,,,0
5,Copepoda,53016.3719,53016.3719,0.4346,9.47,1,1,760,591,0.3663,0.6178,0.6938,1.6186,1067.7643,0.9651,2025-10-23,259.8125,320.6646,259.8125,79.8899,123.532,2.7168,20,-75,0.0032,0.9968,0,0.3681,441.7662,162.6073,20240514_Erie_WNS096_2mm_Rep1_000004.tif,36,58,811,1693,111.8739,440.355,26837339-674F-44E1-BFC4-D3FA827B1406,1,1208.747,1.132,60.4703,1101,0,0,0,0,89611,0.6202,6:24:21,2025-10-23T06:24:21.247,0.1898,9180000,17300000,175.195,,,,No,Copepod,Yes,,,0
6,Copepoda,97573.3926,97573.3926,0.5458,9.47,1,1,184,657,0.2992,0.3715,0.6493,2.6918,1624.0737,0.7144,2025-10-23,352.4689,497.4383,352.4689,122.2179,176.453,6.2978,-35,30,0.6137,0.6197,0,0.1588,878.6775,139.5208,20240514_Erie_WNS096_2mm_Rep1_000006.tif,65,67,993,1223,77.2275,544.525,A5C40B68-CFDF-4FFB-88A2-1EE7C8D902F4,1,2036.3966,1.2539,53.9704,1573,0,0,0,0,105570,0.4004,6:25:14,2025-10-23T06:25:14.161,0.2914,22900000,64400000,430.885,,,,No,Copepod,Yes,,,0
7,Copepoda,112512.1748,112512.1748,0.4085,9.47,1,1,734,1643,0.1095,0.3062,0.5526,3.2657,1815.6481,0.7026,2025-10-23,378.4904,558.73,378.4904,144.3102,195.953,8.1365,-10,-90,0.432,0.6983,0,0.1229,1064.5217,130.8329,20240514_Erie_WNS096_2mm_Rep1_000007.tif,53,92,184,529,76.7618,743.395,064FA836-F0D6-4D47-A325-9A3E342B42AA,1,2390.7091,1.3167,61.9729,1747,0,0,0,0,119211,0.3847,6:25:33,2025-10-23T06:25:33.669,0.3226,28400000,91300000,364.595,,,,No,Copepod,Yes,,,0
8,Copepoda,134455.0758,134455.0758,0.4056,9.47,1,1,661,1098,0.0724,0.4146,0.5848,2.4122,1881.4759,0.8315,2025-10-23,413.7554,579.7742,413.7554,66.9356,235.532,5.3926,65,-10,0.2021,0.8318,0,0.1854,939.2084,174.1658,20240514_Erie_WNS096_2mm_Rep1_000009.tif,93,57,0,110,106.9857,781.275,33F5D9BD-3C1E-47E8-BDA1-8E0E4745F368,1,2226.7483,1.1835,68.7857,2100,0,0,0,0,195142,0.4476,6:26:13,2025-10-23T06:26:13.241,0.2864,37100000,1.02E+08,345.655,,,,No,Copepod,Yes,,,0
9,Copepoda,146594.2608,146594.2608,0.5967,9.47,1,1,846,146,0.2768,0.3155,0.6885,3.17,1956.4035,0.6745,2025-10-23,432.0296,603.7125,432.0296,127.7925,295.063,7.8313,-85,35,0.6039,0.6235,0,0.1277,1177.1456,150.3131,20240514_Erie_WNS096_2mm_Rep1_000011.tif,91,75,1090,401,70.6614,733.925,5005A386-479C-4719-9371-48A4A09D2BEA,1,2654.9173,1.357,56.8559,2631,0,0,0,0,139415,0.4339,6:27:12,2025-10-23T06:27:12.769,0.2844,42200000,1.15E+08,440.355,,,,No,Copepod,Yes,,,0
10,Copepoda,101497.9397,101497.9397,0.9454,9.47,1,1,60,375,0.3781,0.4101,0.8109,2.4386,1491.3811,0.8016,2025-10-23,359.4874,455.3489,359.4874,136.7784,296.407,5.4786,-90,20,0.5589,0.6415,0,0.1825,834.0951,152.2466,20240514_Erie_WNS096_2mm_Rep1_000011.tif,71,59,887,559,48.589,535.055,BE661582-0FBB-4FD0-BFC4-75633739CC1D,1,1972.6834,1.3227,40.1741,2643,0,0,0,0,68802,0.2311,6:27:14,2025-10-23T06:27:14.115,0.2105,24300000,49400000,402.475,,,,No,Copepod,Yes,,,0
