"Particle.ID","Class","Area..ABD.","Area..Filled.","Aspect.Ratio","Calibration.Factor","Calibration.Image","Camera","Capture.X","Capture.Y","Circle.Fit","Circularity","Circularity..Hu.","Compactness","Convex.Perimeter","Convexity","Date","Diameter..ABD.","Diameter..ESD.","Diameter..FD.","Edge.Gradient","Elapsed.Time","Elongation","Feret.Angle.Max","Feret.Angle.Min","Fiber.Curl","Fiber.Straightness","Filter.Score","Geodesic.Aspect.Ratio","Geodesic.Length","Geodesic.Thickness","Image.File","Image.Height","Image.Width","Image.X","Image.Y","Intensity","Length","Original.Reference.ID","Particles.Per.Chain","Perimeter","Roughness","Sigma.Intensity","Source.Image","Sphere.Complement","Sphere.Count","Sphere.Unknown","Sphere.Volume","Sum.Intensity","Symmetry","Time","Timestamp","Transparency","Volume..ABD.","Volume..ESD.","Width","Genus","Family","Order","Nauplius","Group","Zooplankton","Partial","Final_ID","Check"
1,"Copepoda",165337.9273,165419.9874,0.697,9.47,1,1,325,247,0.5635,0.4812,0.8761,2.0783,1770.5273,0.8254,"2025-10-23",458.8189,543.9985,458.9328,103.8522,8.859,4.2964,-60,65,0.5566,0.6424,0,0.2328,921.3222,214.4386,"20240514_Erie_WNS096_2mm_Rep4_000001.tif",72,68,768,251,56.2221,591.875,"830B9B35-D974-43E2-9A2F-FEE7884A4441",1,2271.5216,1.283,50.5876,78,0,0,0,0,123801,0.6477,"7:29:31","2025-10-23T07:29:31.299",0.1566,50600000,84300000,459.295,,,,"No","Copepod","Yes",,,0
2,"Copepoda",87442.3642,87442.3642,0.8041,9.47,1,1,828,701,0.4225,0.4501,0.7734,2.2218,1483.1668,0.7846,"2025-10-23",333.6691,452.4558,333.6691,79.9161,36.437,4.7703,-75,0,0.3147,0.7606,0,0.2096,728.3408,152.6817,"20240514_Erie_WNS096_2mm_Rep4_000002.tif",67,54,688,412,110.6806,553.995,"C5A487CD-D0F5-4C2A-907A-907185730150",1,1762.045,1.188,69.3451,324,0,0,0,0,137244,0.3269,"7:29:58","2025-10-23T07:29:58.877",0.2625,19500000,48500000,374.065,,,,"No","Copepod","Yes",,,0
3,"Copepoda",43452.8365,43452.8365,0.5465,9.47,1,1,249,1636,0.4446,0.4475,0.7276,2.2347,1031.3644,0.7829,"2025-10-23",235.2145,308.3015,235.2145,148.7043,100.781,4.8129,-75,25,0.4084,0.71,0,0.2078,540.163,112.2333,"20240514_Erie_WNS096_2mm_Rep4_000004.tif",54,43,942,1506,73.5044,383.535,"FF5CF7A6-5B86-41BE-84A7-57DAEA51CDF1",1,1304.7927,1.2651,51.1632,898,0,0,0,0,49689,0.5721,"7:31:03","2025-10-23T07:31:03.226",0.2371,6810000,15300000,241.485,,,,"No","Copepod","Yes",,,0
4,"Copepoda",51630.8727,51630.8727,0.8135,9.47,1,1,204,318,0.4519,0.3512,0.7256,2.8473,1187.7653,0.7089,"2025-10-23",256.3951,358.8079,256.3951,132.594,109.297,6.798,-35,45,0.7166,0.5825,0,0.1471,690.9084,101.6345,"20240514_Erie_WNS096_2mm_Rep4_000005.tif",55,52,898,1530,70.06,402.475,"A4552C68-3322-480D-B0A7-FC61A850718E",1,1585.0858,1.3345,47.3452,974,0,0,0,0,54857,0.4347,"7:31:11","2025-10-23T07:31:11.746",0.2854,8830000,24200000,288.835,,,,"No","Copepod","Yes",,,0
5,"Copepoda",140070.5995,140070.5995,0.6372,9.47,1,1,357,121,0.3443,0.333,0.6944,3.0031,1908.8404,0.6772,"2025-10-23",422.3073,587.6665,422.3073,124.6957,120.625,7.2975,20,70,0.6438,0.6083,0,0.137,1113.0428,152.5242,"20240514_Erie_WNS096_2mm_Rep4_000006.tif",69,82,851,254,57.5478,677.105,"0506139F-8525-465C-97D4-E66AE004A9B0",1,2531.134,1.326,44.0012,1075,0,0,0,0,108938,0.4739,"7:31:23","2025-10-23T07:31:23.068",0.2814,39400000,1.06e+08,440.355,,,,"No","Copepod","Yes",,,0
6,"Copepoda",56413.7402,56413.7402,0.5511,9.47,1,1,85,611,0.3076,0.3843,0.6245,2.6021,1288.688,0.737,"2025-10-23",268.0078,390.3742,268.0078,121.2162,159.64,6.0084,-85,15,0.5323,0.6526,0,0.1664,674.7722,112.3051,"20240514_Erie_WNS096_2mm_Rep4_000007.tif",60,51,1137,847,75.5302,440.355,"9B36E125-7B0F-4614-AD07-0ADB636081AC",1,1574.1545,1.2215,50.3721,1423,0,0,0,0,63823,0.5143,"7:32:02","2025-10-23T07:32:02.083",0.3135,10100000,31100000,326.715,,,,"No","Copepod","Yes",,,0
7,"Copepoda",43984.5605,43984.5605,0.495,9.47,1,1,1004,1623,0.3921,0.3868,0.7132,2.5851,1090.5396,0.8136,"2025-10-23",236.6493,327.5039,236.6493,116.1339,179.484,5.9532,80,-5,0.3424,0.7449,0,0.168,603.8596,101.4343,"20240514_Erie_WNS096_2mm_Rep4_000008.tif",61,34,1127,518,99.2079,449.825,"D7451C0F-2683-4403-8ADA-835ABCD47E8B",1,1410.5878,1.2935,63.2276,1600,0,0,0,0,67759,0.5042,"7:32:21","2025-10-23T07:32:21.925",0.2774,6940000,18400000,175.195,,,,"No","Copepod","Yes",,,0
8,"Copepoda",84502.8095,84502.8095,0.4617,9.47,1,1,408,1505,0.2381,0.3179,0.6156,3.1456,1562.9373,0.706,"2025-10-23",328.0127,477.9717,328.0127,129.631,192.593,7.7531,-90,-15,0.5209,0.6575,0,0.129,914.58,117.9625,"20240514_Erie_WNS096_2mm_Rep4_000008.tif",78,54,179,1565,90.0349,601.345,"E959D21D-D6B1-4F7F-A35C-3D5BCFCD9B04",1,2065.085,1.3213,61.8337,1717,0,0,0,0,108312,0.5339,"7:32:35","2025-10-23T07:32:35.041",0.3137,18500000,57200000,336.185,,,,"No","Copepod","Yes",,,0
9,"Copepoda",85376.1303,85376.1303,0.4951,9.47,1,1,250,857,0.2351,0.3729,0.6022,2.6818,1536.0207,0.7432,"2025-10-23",329.7033,469.0283,329.7033,78.2203,203.812,6.2654,-55,35,0.4181,0.7052,0,0.1596,825.9134,131.8209,"20240514_Erie_WNS096_2mm_Rep4_000009.tif",66,58,809,293,98.3748,582.405,"2C83C588-7E76-49D1-AEAF-C0EF4FD78F1A",1,1915.4685,1.247,59.9335,1817,0,0,0,0,119427,0.2583,"7:32:46","2025-10-23T07:32:46.251",0.2971,18800000,5.4e+07,345.655,,,,"No","Copepod","Yes",,,0
10,"Copepoda",244358.295,244358.295,0.4078,9.47,1,1,242,1390,0,0.2298,0.4598,4.3518,2969.471,0.5504,"2025-10-23",557.7873,926.4814,557.7873,96.5778,210.531,11.5852,0,70,0.4883,0.6719,0,0.0863,1811.0868,156.3275,"20240514_Erie_WNS096_2mm_Rep4_000009.tif",87,143,1001,698,77.4599,1216.895,"47129D61-28C3-4C28-810E-73DB276F2DB8",1,3934.8286,1.3251,61.835,1877,0,0,0,0,244541,0.1319,"7:32:52","2025-10-23T07:32:52.978",0.398,90900000,4.16e+08,563.465,,,,"No","Copepod","Yes",,,0
