"Particle.ID","Class","Area..ABD.","Area..Filled.","Aspect.Ratio","Calibration.Factor","Calibration.Image","Camera","Capture.X","Capture.Y","Circle.Fit","Circularity","Circularity..Hu.","Compactness","Convex.Perimeter","Convexity","Date","Diameter..ABD.","Diameter..ESD.","Diameter..FD.","Edge.Gradient","Elapsed.Time","Elongation","Feret.Angle.Max","Feret.Angle.Min","Fiber.Curl","Fiber.Straightness","Filter.Score","Geodesic.Aspect.Ratio","Geodesic.Length","Geodesic.Thickness","Image.File","Image.Height","Image.Width","Image.X","Image.Y","Intensity","Length","Original.Reference.ID","Particles.Per.Chain","Perimeter","Roughness","Sigma.Intensity","Source.Image","Sphere.Complement","Sphere.Count","Sphere.Unknown","Sphere.Volume","Sum.Intensity","Symmetry","Time","Timestamp","Transparency","Volume..ABD.","Volume..ESD.","Width","Genus","Family","Order","Nauplius","Group","Zooplankton","Partial","Final_ID","Check"
1,"Copepoda",75878.2348,75878.2348,0.5939,9.47,1,1,767,1029,0.3548,0.4265,0.6817,2.3447,1402.6311,0.7916,"2025-11-05",310.8234,426.6765,310.8234,65.1392,32.922,5.1728,-40,-80,0.4607,0.6846,0,0.1933,712.3985,137.7191,"20240603_Erie_WNS0309_2mm_Rep6_150umSizeFilter_000001.tif",54,62,539,485,127.4698,487.705,"B38032F0-8E51-481A-BD60-CA52AB23B056",1,1700.2353,1.2122,64.4264,260,0,0,0,0,139452,0.5071,"10:13:08","2025-11-05T10:13:08.892",0.2715,15700000,40700000,355.125,,,,"No","Copepod","Yes",,,0
2,"Copepoda",63093.8291,63093.8291,0.5043,9.47,1,1,367,1625,0.2406,0.346,0.5698,2.8901,1427.683,0.6953,"2025-11-05",283.4318,434.8311,283.4318,154.2317,60.781,6.9355,50,-50,0.3736,0.728,0,0.1442,760.962,109.7202,"20240603_Erie_WNS0309_2mm_Rep6_150umSizeFilter_000001.tif",58,57,435,1205,78.4501,553.995,"A0B93518-E5A9-4454-89E5-9965880ABD18",1,1741.3644,1.2197,56.6051,481,0,0,0,0,73037,0.3696,"10:13:36","2025-11-05T10:13:36.759",0.3482,11900000,4.3e+07,326.715,,,,"No","Copepod","Yes",,,0
3,"Copepoda",43452.8365,43452.8365,0.6614,9.47,1,1,179,1602,0.3256,0.3479,0.6551,2.8746,1189.2028,0.7284,"2025-11-05",235.2145,358.8079,235.2145,150.0763,190.547,6.8856,-55,30,0.3248,0.7549,0,0.1452,646.092,93.8323,"20240603_Erie_WNS0309_2mm_Rep6_150umSizeFilter_000003.tif",54,50,143,475,76.8728,487.705,"BD5F49DD-D52F-4CD4-B589-57B853390D07",1,1479.8485,1.2444,51.5213,1510,0,0,0,0,51966,0.4764,"10:15:46","2025-11-05T10:15:46.517",0.3445,6810000,24200000,241.485,,,,"No","Copepod","Yes",,,0
4,"Copepoda",64966.6451,64966.6451,0.5394,9.47,1,1,245,1403,0.3611,0.4133,0.7213,2.4198,1279.9264,0.7809,"2025-11-05",287.6075,388.0067,287.6075,137.8936,222.437,5.4173,65,5,0.37,0.7299,0,0.1846,681.1516,125.736,"20240603_Erie_WNS0309_2mm_Rep6_150umSizeFilter_000003.tif",65,42,770,1107,84.2482,497.175,"3451E9E5-5613-483A-AB5F-2E3C77CFA771",1,1613.7751,1.2608,57.9854,1763,0,0,0,0,80457,0.5767,"10:16:18","2025-11-05T10:16:18.421",0.2588,12500000,30600000,250.955,,,,"No","Copepod","Yes",,,0
5,"Copepoda",44060.5614,44060.5614,0.3699,9.47,1,1,273,151,0.2318,0.5366,0.595,1.8637,1083.6265,0.9573,"2025-11-05",236.8536,326.1885,236.8536,125.0909,250.687,3.5754,70,-20,0.0411,0.9605,0,0.2797,468.3191,130.9828,"20240603_Erie_WNS0309_2mm_Rep6_150umSizeFilter_000004.tif",61,36,105,238,60.9708,449.825,"BCF521D1-697B-47BC-89F1-9D76995DF977",1,1198.6037,1.1061,41.7516,1987,0,0,0,0,41704,0.498,"10:16:46","2025-11-05T10:16:46.668",0.2739,6960000,18200000,165.725,,,,"No","Copepod","Yes",,,0
6,"Copepoda",69585.2283,69585.2283,0.5631,9.47,1,1,837,1044,0.2599,0.3836,0.6085,2.6072,1475.729,0.7613,"2025-11-05",297.6553,451.1404,297.6553,75.2675,303.781,6.0247,-10,85,0.3593,0.7357,0,0.166,740.1765,122.8578,"20240603_Erie_WNS0309_2mm_Rep6_150umSizeFilter_000004.tif",51,71,234,1231,126.3323,544.525,"9D43EDE9-AB97-4E61-81F2-151C423D80FE",1,1726.0685,1.1696,65.5947,2408,0,0,0,0,128101,0.4528,"10:17:39","2025-11-05T10:17:39.755",0.3402,13800000,48100000,336.185,,,,"No","Copepod","Yes",,,0
7,"Copepoda",166733.1837,166733.1837,0.2785,9.47,1,1,156,1618,0,0.2234,0.422,4.4768,2551.2691,0.7344,"2025-11-05",460.7508,792.586,460.7508,119.2233,311.344,11.9809,-85,5,0.342,0.7452,0,0.0835,1544.0946,128.8794,"20240603_Erie_WNS0309_2mm_Rep6_150umSizeFilter_000004.tif",135,47,783,1231,60.8495,1150.605,"7631882D-D8C7-44CE-BC7D-495F95533887",1,3345.948,1.3115,46.251,2468,0,0,0,0,135025,0.448,"10:17:47","2025-11-05T10:17:47.322",0.4187,51200000,2.61e+08,298.305,,,,"No","Copepod","Yes",,,0
8,"Copepoda",61613.7482,61613.7482,0.5172,9.47,1,1,109,1296,0.328,0.463,0.7124,2.16,1220.6868,0.862,"2025-11-05",280.0876,368.5411,280.0876,143.4231,547.156,4.567,-75,15,0.2532,0.798,0,0.219,611.1729,133.823,"20240603_Erie_WNS0309_2mm_Rep6_150umSizeFilter_000008.tif",64,42,0,113,76.5263,487.705,"F3744A6C-01AC-4270-853B-E72469B50BC2",1,1489.9918,1.2206,54.4493,4338,0,0,0,0,69792,0.4731,"10:21:43","2025-11-05T10:21:43.129",0.24,11500000,26200000,250.955,,,,"No","Copepod","Yes",,,0
9,"Copepoda",71705.3539,71705.3539,0.2765,9.47,1,1,336,872,0,0.3005,0.4516,3.328,1724.7077,0.8082,"2025-11-05",302.1557,529.2679,302.1557,85.7753,555.344,8.3353,75,-10,0.0895,0.9179,0,0.12,882.1346,105.8317,"20240603_Erie_WNS0309_2mm_Rep6_150umSizeFilter_000008.tif",96,41,928,113,98.536,809.685,"A1BEF942-2ADD-46DE-96BA-CEFF4525A1FD",1,1975.9325,1.1457,61.6901,4403,0,0,0,0,102576,0.4229,"10:21:51","2025-11-05T10:21:51.324",0.4291,14400000,77600000,194.135,,,,"No","Copepod","Yes",,,0
10,"Copepoda",68409.1153,68409.1153,0.6439,9.47,1,1,740,225,0.2644,0.2802,0.5955,3.5694,1536.9223,0.6285,"2025-11-05",295.1291,469.5539,295.1291,134.4731,594.937,9.1036,-65,15,0.7825,0.561,0,0.1098,903.1072,99.2033,"20240603_Erie_WNS0309_2mm_Rep6_150umSizeFilter_000008.tif",61,62,730,832,90.7558,506.645,"AC90AF41-5754-4C89-897C-0AE37CD51576",1,2004.621,1.3043,59.054,4717,0,0,0,0,90665,0.3925,"10:22:30","2025-11-05T10:22:30.919",0.3715,13500000,54200000,421.415,,,,"No","Copepod","Yes",,,0
