"Particle.ID","Class","Area..ABD.","Area..Filled.","Aspect.Ratio","Calibration.Factor","Calibration.Image","Camera","Capture.X","Capture.Y","Circle.Fit","Circularity","Circularity..Hu.","Compactness","Convex.Perimeter","Convexity","Date","Diameter..ABD.","Diameter..ESD.","Diameter..FD.","Edge.Gradient","Elapsed.Time","Elongation","Feret.Angle.Max","Feret.Angle.Min","Fiber.Curl","Fiber.Straightness","Filter.Score","Geodesic.Aspect.Ratio","Geodesic.Length","Geodesic.Thickness","Image.File","Image.Height","Image.Width","Image.X","Image.Y","Intensity","Length","Original.Reference.ID","Particles.Per.Chain","Perimeter","Roughness","Sigma.Intensity","Source.Image","Sphere.Complement","Sphere.Count","Sphere.Unknown","Sphere.Volume","Sum.Intensity","Symmetry","Time","Timestamp","Transparency","Volume..ABD.","Volume..ESD.","Width","Genus","Family","Order","Nauplius","Group","Zooplankton","Partial","Final_ID","Check"
1,"Copepoda",19291.5429,19291.5429,0.7803,9.47,1,1,321,1686,0.62,0.6257,0.8688,1.5981,662.3299,0.9146,"2025-12-02",156.7251,191.7675,156.7251,116.9167,17.141,2.6421,-90,0,0.3477,0.742,0,0.3785,287.1522,108.6844,"20240430_Erie_WNS0904_2mm_Rep5_000001.tif",37,30,473,1297,86.3994,213.075,"B131C6D5-1959-4513-BAE3-BEEE28DB0636",1,791.6731,1.1953,53.4117,135,0,0,0,0,30067,0.428,"9:10:06","2025-12-02T09:10:06.825",0.1827,2020000,3690000,146.785,,,,"No","Copepod","Yes",,,0
2,"Copepoda",185986.4135,186068.874,0.4834,9.47,1,1,689,1768,0.1699,0.2768,0.5999,3.6133,2303.7025,0.6335,"2025-12-02",486.6264,714.1961,486.7343,121.324,19.031,9.2433,-40,45,0.5937,0.6275,0,0.1082,1426.2694,154.3025,"20240430_Erie_WNS0904_2mm_Rep5_000001.tif",89,97,401,1466,65.6608,894.915,"7A62488C-F62B-4CC2-98EB-72159EEE74F3",1,3161.1438,1.3722,55.0268,150,0,0,0,0,161066,0.2786,"9:10:08","2025-12-02T09:10:08.716",0.3186,60300000,1.91e+08,468.765,,,,"No","Copepod","Yes",,,0
3,"Copepoda",40197.7725,40197.7725,0.6314,9.47,1,1,998,103,0.5777,0.6959,0.8398,1.4369,890.573,0.9776,"2025-12-02",226.2331,264.1079,226.2331,102.0435,22.953,2.019,-85,10,0.007,0.993,0,0.4953,338.5442,167.6827,"20240430_Erie_WNS0904_2mm_Rep5_000001.tif",49,35,470,1712,80.2859,336.185,"111B06CF-3FF2-4A88-A123-32063D05A440",1,1012.4538,1.1369,52.924,181,0,0,0,0,50821,0.6221,"9:10:12","2025-12-02T09:10:12.625",0.1434,6060000,9650000,184.665,,,,"No","Copepod","Yes",,,0
4,"Copepoda",41104.1608,41104.1608,0.7642,9.47,1,1,962,444,0.7054,0.6164,0.9177,1.6223,883.9809,0.9499,"2025-12-02",228.7694,261.2139,228.7694,94.7624,33.531,2.7302,25,-85,0.3759,0.7268,0,0.3663,397.4018,145.5559,"20240430_Erie_WNS0904_2mm_Rep5_000002.tif",36,43,724,704,105.5938,288.835,"F1B6EC4C-D89C-43A1-A449-30515B42E2A2",1,1085.9154,1.2284,65.5019,265,0,0,0,0,68108,0.6023,"9:10:23","2025-12-02T09:10:23.218",0.1242,6270000,9330000,194.135,,,,"No","Copepod","Yes",,,0
5,"Copepoda",112512.1748,112512.1748,0.5202,9.47,1,1,751,668,0.2458,0.4965,0.6653,2.0143,1648.5329,0.8232,"2025-12-02",378.4904,505.3296,378.4904,74.0462,54.594,4.0831,55,-30,0.1975,0.8351,0,0.2449,754.1061,184.6881,"20240430_Erie_WNS0904_2mm_Rep5_000003.tif",73,61,932,296,96.2563,629.755,"A03B7CD2-5886-482C-93B9-F0C055A556F9",1,1877.5885,1.1389,68.9081,432,0,0,0,0,149486,0.2871,"9:10:44","2025-12-02T09:10:44.276",0.251,28400000,67600000,345.655,,,,"No","Copepod","Yes",,,0
6,"Copepoda",51938.5361,51938.5361,0.6443,9.47,1,1,772,191,0.4794,0.4903,0.7541,2.0396,1109.3698,0.8328,"2025-12-02",257.1579,331.7133,257.1579,135.3898,77.797,4.1676,30,-70,0.4141,0.7072,0,0.2399,542.3503,130.1352,"20240430_Erie_WNS0904_2mm_Rep5_000004.tif",47,50,0,611,83.6404,383.535,"74DA5F46-11B2-4726-9004-B12CD254A344",1,1344.9711,1.2124,57.3922,616,0,0,0,0,65825,0.4815,"9:11:07","2025-12-02T09:11:07.479",0.2248,8900000,19100000,279.365,,,,"No","Copepod","Yes",,,0
7,"Copepoda",45963.7753,45963.7753,0.7254,9.47,1,1,398,1623,0.5783,0.5486,0.8806,1.8228,968.8482,0.9226,"2025-12-02",241.9151,290.1504,241.9151,144.6505,85.234,3.4355,-75,40,0.3902,0.7193,0,0.2911,467.3783,136.0434,"20240430_Erie_WNS0904_2mm_Rep5_000004.tif",48,47,82,1350,87.1961,336.185,"CA5972B6-7849-4787-AC74-010A05E687BB",1,1206.8435,1.2456,56.317,675,0,0,0,0,61822,0.4624,"9:11:14","2025-12-02T09:11:14.918",0.1662,7410000,12800000,194.135,,,,"No","Copepod","Yes",,,0
8,"Copepoda",29830.3705,29830.3705,0.4479,9.47,1,1,436,406,0.4617,0.6332,0.7237,1.5792,826.2869,0.985,"2025-12-02",194.8877,244.1158,194.8877,92.6322,92.797,2.5725,-85,0,0,1.0239,0,0.3887,337.5924,131.2303,"20240430_Erie_WNS0904_2mm_Rep5_000004.tif",50,29,1164,1735,102.9555,345.655,"9BE5FE65-FF36-44E7-B83C-299476173D92",1,937.6455,1.1348,52.4533,735,0,0,0,0,50860,0.7912,"9:11:22","2025-12-02T09:11:22.484",0.2017,3880000,7620000,137.315,,,,"No","Copepod","Yes",,,0
9,"Copepoda",47872.9118,47872.9118,0.7992,9.47,1,1,58,1453,0.63,0.4935,0.8793,2.0263,999.872,0.8495,"2025-12-02",246.888,299.0939,246.888,137.7328,118.531,4.1232,10,-50,0.6422,0.6089,0,0.2425,520.9737,126.3514,"20240430_Erie_WNS0904_2mm_Rep5_000006.tif",46,47,814,553,67.7629,317.245,"6C98D6BC-36A8-46D3-B53C-3A7D3590C4F2",1,1294.6503,1.2948,49.5593,939,0,0,0,0,49738,0.5133,"9:11:48","2025-12-02T09:11:48.208",0.1745,7880000,1.4e+07,260.425,,,,"No","Copepod","Yes",,,0
10,"Copepoda",176266.6691,176266.6691,0.6071,9.47,1,1,219,170,0.1224,0.3384,0.768,2.9548,1962.6045,0.8115,"2025-12-02",473.7401,605.5535,473.7401,97.6163,129.875,7.1428,30,-80,0.6043,0.6233,0,0.14,1223.0026,171.222,"20240430_Erie_WNS0904_2mm_Rep5_000006.tif",63,83,932,1616,53.5289,762.335,"5633E458-28A8-445A-AD3D-BB28471CEA6B",1,2788.4491,1.4208,42.5383,1029,0,0,0,0,124990,0.3132,"9:11:59","2025-12-02T09:11:59.556",0.2177,55700000,1.16e+08,430.885,,,,"No","Copepod","Yes",,,0
11,"Copepoda",71941.1658,71941.1658,0.36,9.47,1,1,650,1864,0.2747,0.6112,0.6241,1.6361,1273.9328,0.9948,"2025-12-02",302.6522,385.6392,302.6522,126.0167,135.047,2.7805,-55,40,0,1.0672,0,0.3597,510.2208,183.5026,"20240430_Erie_WNS0904_2mm_Rep5_000007.tif",56,54,749,158,57.6762,544.525,"2F423F00-5D8F-4377-90CC-60A7ECD11B5C",1,1387.4469,1.0891,46.1597,1070,0,0,0,0,60214,0.7781,"9:12:04","2025-12-02T09:12:04.727",0.2152,14500000,3e+07,175.195,,,,"No","Copepod","Yes",,,0
12,"Copepoda",102139.4586,102139.4586,0.3552,9.47,1,1,991,1400,0,0.293,0.4876,3.4132,1790.8035,0.7428,"2025-12-02",360.6217,551.3642,360.6217,127.5047,142.859,8.6066,55,-35,0.3752,0.7272,0,0.1162,1048.3821,121.8121,"20240430_Erie_WNS0904_2mm_Rep5_000007.tif",89,53,981,786,87.9944,762.335,"2A7B8D26-00F9-408E-A24A-0B703F2198B9",1,2340.3883,1.3069,70.603,1132,0,0,0,0,125304,0.2288,"9:12:12","2025-12-02T09:12:12.545",0.3459,24600000,87800000,298.305,,,,"No","Copepod","Yes",,,0
13,"Copepoda",27849.5587,27849.5587,0.6553,9.47,1,1,472,1866,0.6608,0.6312,0.8802,1.5844,746.9567,0.976,"2025-12-02",188.306,218.5989,188.306,103.0238,147.656,2.5917,40,-50,0.2207,0.8192,0,0.3858,329.4583,127.1207,"20240430_Erie_WNS0904_2mm_Rep5_000007.tif",38,36,1147,1127,75.7602,269.895,"7608BDE6-09BB-406A-98B8-0DD78C252608",1,913.158,1.2225,43.5646,1170,0,0,0,0,35380,0.6813,"9:12:17","2025-12-02T09:12:17.336",0.1386,3500000,5470000,175.195,,,,"No","Copepod","Yes",,,0
14,"Copepoda",84820.3211,84820.3211,0.3506,9.47,1,1,576,1101,0.0932,0.3983,0.5503,2.5105,1572.3732,0.8205,"2025-12-02",328.6283,480.6025,328.6283,81.3704,174.891,5.7119,55,-45,0.1453,0.8732,0,0.1751,786.3129,137.6613,"20240430_Erie_WNS0904_2mm_Rep5_000009.tif",76,59,606,0,108.3181,686.575,"5D8B1723-1450-4B56-A819-8B8DB069B97E",1,1847.9483,1.1753,69.5017,1386,0,0,0,0,130740,0.4818,"9:12:44","2025-12-02T09:12:44.572",0.3162,18600000,58100000,250.955,,,,"No","Copepod","Yes",,,0
15,"Copepoda",49327.6309,49327.6309,0.817,9.47,1,1,360,1300,0.5441,0.474,0.8572,2.1099,1037.4224,0.8611,"2025-12-02",250.611,310.669,250.611,82.4793,175.531,4.4012,25,-85,0.5351,0.6514,0,0.2272,545.1698,123.8692,"20240430_Erie_WNS0904_2mm_Rep5_000009.tif",44,47,772,0,109.5046,355.125,"B6DA9C8E-EF5A-4AF1-B364-0D756650FDF9",1,1338.0779,1.2898,64.4248,1391,0,0,0,0,82457,0.3597,"9:12:45","2025-12-02T09:12:45.204",0.1933,8240000,15700000,269.895,,,,"No","Copepod","Yes",,,0
16,"Copepoda",80144.1309,80144.1309,0.7658,9.47,1,1,903,207,0.5419,0.4881,0.8827,2.0489,1233.2601,0.8848,"2025-12-02",319.4412,373.2761,319.4412,118.1724,184.609,4.1986,-55,30,0.5601,0.641,0,0.2382,657.4687,156.591,"20240430_Erie_WNS0904_2mm_Rep5_000009.tif",52,54,616,783,74.5958,421.415,"DAE585EC-9892-428F-B583-D4917EF6D3D5",1,1628.1193,1.3202,59.0609,1463,0,0,0,0,85636,0.3863,"9:12:54","2025-12-02T09:12:54.283",0.1442,17100000,27200000,326.715,,,,"No","Copepod","Yes",,,0
17,"Copepoda",132098.1555,132098.1555,0.5706,9.47,1,1,458,627,0.2994,0.408,0.7014,2.4511,1754.2976,0.758,"2025-12-02",410.1129,540.0533,410.1129,77.4356,184.859,5.5193,65,-10,0.4746,0.6782,0,0.1812,942.5929,170.7813,"20240430_Erie_WNS0904_2mm_Rep5_000009.tif",80,62,783,783,91.0362,639.225,"9678625D-77E4-4EBC-BB3B-4C225DFD9F67",1,2226.7483,1.2693,63.3289,1465,0,0,0,0,163410,0.4083,"9:12:54","2025-12-02T09:12:54.535",0.2406,36100000,82500000,411.945,,,,"No","Copepod","Yes",,,0
18,"Copepoda",75010.9891,75010.9891,0.1757,9.47,1,1,926,1392,0,0.133,0.1555,7.5198,2537.9496,0.5045,"2025-12-02",309.042,788.3775,309.042,106.8949,194.188,21.5779,75,-10,0.2084,0.8275,0,0.0463,1447.6675,67.0903,"20240430_Erie_WNS0904_2mm_Rep5_000009.tif",138,53,226,1659,130.8735,1197.955,"AB380194-6C08-46B0-A18C-5888B51063EF",1,3029.5155,1.1937,65.3921,1539,0,0,0,0,141736,0.2753,"9:13:03","2025-12-02T09:13:03.866",0.608,15500000,2.57e+08,222.545,,,,"No","Copepod","Yes",,,0
19,"Copepoda",56491.1212,56568.5095,0.7947,9.47,1,1,405,1005,0.5567,0.5485,0.8859,1.823,1023.1975,0.9137,"2025-12-02",268.1916,306.1964,268.3752,72.7227,197.969,3.4361,10,-55,0.5637,0.6395,0,0.291,510.8868,148.6821,"20240430_Erie_WNS0904_2mm_Rep5_000010.tif",48,48,572,142,122.7577,326.715,"302F031B-1414-44B3-AEDD-EA00BAA6C617",1,1319.1379,1.2892,63.4579,1569,0,0,0,0,103853,0.3677,"9:13:07","2025-12-02T09:13:07.649",0.1241,10100000,1.5e+07,279.365,,,,"No","Copepod","Yes",,,0
20,"Copepoda",80935.6119,81331.523,0.7071,9.47,1,1,67,1796,0.2629,0.3053,0.6709,3.2755,1602.0721,0.6717,"2025-12-02",321.0147,489.546,321.7989,71.8098,221.047,8.1679,0,50,0.5848,0.631,0,0.1224,922.9877,113.0014,"20240430_Erie_WNS0904_2mm_Rep5_000011.tif",60,76,33,445,59.2893,582.405,"F6B254D4-8B47-4FAC-8E2D-7DB632E19856",1,2071.9782,1.2933,34.4596,1752,0,0,0,0,68657,0.2498,"9:13:30","2025-12-02T09:13:30.726",0.3443,17300000,61400000,411.945,,,,"No","Copepod","Yes",,,0
21,"Copepoda",32860.6888,32860.6888,0.8606,9.47,1,1,356,576,0.7455,0.7372,0.9304,1.3565,784.9891,0.9963,"2025-12-02",204.5471,229.3842,204.5471,93.5185,226.094,1.6587,-90,0,0.1682,0.856,0,0.6029,282.1042,170.0764,"20240430_Erie_WNS0904_2mm_Rep5_000011.tif",40,36,0,826,94.5271,241.485,"D3AA7CEF-8666-4B87-AB39-78DCC7978CAB",1,904.3613,1.1521,56.9018,1792,0,0,0,0,50572,0.6459,"9:13:35","2025-12-02T09:13:35.770",0.1083,4480000,6320000,203.605,,,,"No","Copepod","Yes",,,0
22,"Copepoda",45735.0708,45735.0708,0.4025,9.47,1,1,919,100,0.0947,0.3942,0.4848,2.5369,1252.2143,0.7724,"2025-12-02",241.3125,380.1154,241.3125,79.6032,227.094,5.7975,-50,45,0.1527,0.8675,0,0.1725,605.862,104.5035,"20240430_Erie_WNS0904_2mm_Rep5_000011.tif",53,57,617,826,107.228,525.585,"E16294B0-6838-4C47-BCDF-04F5D3401F65",1,1420.7311,1.1346,51.9404,1800,0,0,0,0,75703,0.21,"9:13:36","2025-12-02T09:13:36.778",0.3652,7360000,28800000,203.605,,,,"No","Copepod","Yes",,,0
23,"Copepoda",41104.1608,41104.1608,0.5337,9.47,1,1,1004,1799,0.3191,0.4787,0.6868,2.0891,1069.4083,0.8787,"2025-12-02",228.7694,320.9279,228.7694,120.367,227.219,4.3321,-55,30,0.0899,0.9175,0,0.2308,500.5892,115.5522,"20240430_Erie_WNS0904_2mm_Rep5_000011.tif",51,46,803,826,96.5907,459.295,"1BB5DEB7-888C-472D-8A51-C030AE07164A",1,1232.2828,1.1523,49.5169,1801,0,0,0,0,62301,0.3474,"9:13:36","2025-12-02T09:13:36.903",0.2872,6270000,17300000,175.195,,,,"No","Copepod","Yes",,,0
24,"Copepoda",32563.9313,32563.9313,0.5032,9.47,1,1,164,97,0.5138,0.6477,0.7831,1.5439,852.4468,0.9907,"2025-12-02",203.6214,252.796,203.6214,111.7241,241.094,2.4404,-55,25,0,1.0695,0,0.4098,340.8999,139.6907,"20240430_Erie_WNS0904_2mm_Rep5_000012.tif",43,39,273,450,48.6234,364.595,"77CDC3F3-8CDF-472A-9DE7-046829FA864A",1,961.1813,1.1276,33.5311,1911,0,0,0,0,25819,0.8595,"9:13:50","2025-12-02T09:13:50.774",0.1945,4420000,8460000,146.785,,,,"No","Copepod","Yes",,,0
25,"Copepoda",42087.8542,42087.8542,0.6063,9.47,1,1,894,91,0.4984,0.6311,0.8229,1.5846,943.3285,0.9691,"2025-12-02",231.4906,280.1539,231.4906,112.1895,241.469,2.5926,-65,45,0.1014,0.9079,0,0.3857,391.1387,150.8673,"20240430_Erie_WNS0904_2mm_Rep5_000012.tif",46,44,510,450,78.4134,355.125,"2E153022-6233-4E1B-9B29-878AD0DEF3C3",1,1084.012,1.1491,54.1319,1914,0,0,0,0,51596,0.509,"9:13:51","2025-12-02T09:13:51.153",0.1737,6500000,11500000,194.135,,,,"No","Copepod","Yes",,,0
26,"Copepoda",31601.0985,31601.0985,0.7127,9.47,1,1,709,116,0.6193,0.6436,0.8596,1.5538,819.905,0.9691,"2025-12-02",200.5886,242.2739,200.5886,122.5714,253.078,2.4777,-90,0,0.1746,0.8514,0,0.4036,339.2639,136.9279,"20240430_Erie_WNS0904_2mm_Rep5_000012.tif",45,35,477,1584,87.0656,288.835,"AFCFE626-4631-4435-9F1F-F4045A3E37C9",1,952.3837,1.1616,53.092,2006,0,0,0,0,45100,0.61,"9:14:02","2025-12-02T09:14:02.753",0.1721,4230000,7450000,194.135,,,,"No","Copepod","Yes",,,0
27,"Copepoda",103663.9164,103663.9164,0.6981,9.47,1,1,148,1436,0.2384,0.3176,0.6616,3.1484,1685.9233,0.6713,"2025-12-02",363.3029,516.9039,363.3029,149.27,253.578,7.7621,-15,70,0.6667,0.6,0,0.1288,1002.2424,129.12,"20240430_Erie_WNS0904_2mm_Rep5_000012.tif",66,77,1068,1584,72.5274,601.345,"3AEEE552-1C45-4D8D-8A72-389673DDF325",1,2262.7249,1.3421,54.7858,2010,0,0,0,0,104657,0.0998,"9:14:03","2025-12-02T09:14:03.258",0.2972,25100000,72300000,402.475,,,,"No","Copepod","Yes",,,0
28,"Copepoda",49021.1106,49021.1106,0.5849,9.47,1,1,165,1817,0.4868,0.5681,0.7928,1.7601,1015.8744,0.9019,"2025-12-02",249.8312,305.1442,249.8312,92.0185,254.453,3.2189,-20,50,0.2754,0.7841,0,0.3107,464.9875,144.4576,"20240430_Erie_WNS0904_2mm_Rep5_000013.tif",43,52,355,0,59.9973,364.595,"08E3A3A0-B05D-4A92-9477-388B113C71B5",1,1218.8903,1.1998,35.4594,2017,0,0,0,0,44938,0.6147,"9:14:04","2025-12-02T09:14:04.140",0.1813,8160000,14900000,241.485,,,,"No","Copepod","Yes",,,0
29,"Copepoda",325587.3636,325587.3636,0.615,9.47,1,1,376,1079,0.0529,0.2247,0.6957,4.4495,2903.449,0.6578,"2025-12-02",643.8561,904.385,643.8561,66.1199,257.859,11.8946,-70,50,0.8235,0.5484,0,0.0841,2098.1767,176.3975,"20240430_Erie_WNS0904_2mm_Rep5_000013.tif",126,102,1055,197,92.8495,1150.605,"43322E68-09FB-407A-A7AD-B1BFE0253A4A",1,4549.1484,1.5668,66.0628,2044,0,0,0,0,383190,0.4901,"9:14:07","2025-12-02T09:14:07.545",0.2881,1.4e+08,3.87e+08,658.165,,,,"No","Copepod","Yes",,,0
30,"Copepoda",48485.0366,48485.0366,0.5569,9.47,1,1,393,914,0.4622,0.6158,0.7958,1.624,1013.2029,0.9655,"2025-12-02",248.4614,302.2511,248.4614,78.1442,261.781,2.7364,-90,20,0.0858,0.921,0,0.3654,426.7177,155.942,"20240430_Erie_WNS0904_2mm_Rep5_000013.tif",56,39,452,574,101.0539,393.005,"999ED231-505A-4752-B6E0-88C0670CD1B0",1,1165.3195,1.1501,63.8406,2075,0,0,0,0,74982,0.6133,"9:14:11","2025-12-02T09:14:11.455",0.178,8030000,14500000,203.605,,,,"No","Copepod","Yes",,,0
31,"Copepoda",61925.1518,61925.1518,0.4204,9.47,1,1,701,477,0.2845,0.459,0.6689,2.1788,1271.482,0.8954,"2025-12-02",280.7945,385.6392,280.7945,92.6324,266.063,4.629,-80,0,0.0944,0.9137,0,0.216,616.6551,133.215,"20240430_Erie_WNS0904_2mm_Rep5_000013.tif",73,35,443,956,100.0939,563.465,"46B1D9A2-E2DA-47FD-99D7-3F24CF51F041",1,1499.7402,1.1795,64.7654,2109,0,0,0,0,91686,0.6393,"9:14:15","2025-12-02T09:14:15.741",0.2719,11600000,3e+07,194.135,,,,"No","Copepod","Yes",,,0
32,"Copepoda",100536.0647,100536.0647,0.4682,9.47,1,1,608,465,0.0476,0.2086,0.4741,4.7942,1982.3901,0.532,"2025-12-02",357.78,610.2885,357.78,67.3735,270.094,12.9845,-60,30,0.72,0.5814,0,0.077,1278.6326,98.4739,"20240430_Erie_WNS0904_2mm_Rep5_000013.tif",87,69,869,1296,121.4858,743.395,"B6F436B5-698A-44EB-9985-B815970CDDD8",1,2754.2131,1.3893,60.0362,2141,0,0,0,0,170566,0.3188,"9:14:19","2025-12-02T09:14:19.777",0.4138,2.4e+07,1.19e+08,411.945,,,,"No","Copepod","Yes",,,0
33,"Copepoda",32563.9313,32563.9313,0.5748,9.47,1,1,240,200,0.5296,0.5876,0.8136,1.702,849.8709,0.9275,"2025-12-02",203.6214,249.9029,203.6214,125.1889,285.859,3.0153,45,-35,0.1272,0.8872,0,0.3316,378.9311,125.6708,"20240430_Erie_WNS0904_2mm_Rep5_000014.tif",44,38,848,458,66.4482,336.185,"E114EA49-C01F-4D12-B69A-C23F89607E44",1,1009.2037,1.1875,43.2799,2266,0,0,0,0,35284,0.564,"9:14:35","2025-12-02T09:14:35.539",0.1852,4420000,8170000,165.725,,,,"No","Copepod","Yes",,,0
34,"Copepoda",116546.0385,116626.7879,0.4156,9.47,1,1,861,654,0.0615,0.4456,0.5918,2.2444,1729.9048,0.8236,"2025-12-02",385.2156,531.6354,385.349,76.8057,291.531,4.8445,-35,65,0.1676,0.8565,0,0.2064,834.7858,172.3175,"20240430_Erie_WNS0904_2mm_Rep5_000014.tif",62,82,979,1026,98.7367,714.985,"24066FAE-2C77-44B0-9DE0-670DA13D2DE2",1,2014.2065,1.1643,71.0782,2311,0,0,0,0,158275,0.3219,"9:14:41","2025-12-02T09:14:41.213",0.2754,29900000,78700000,307.775,,,,"No","Copepod","Yes",,,0
35,"Copepoda",55099.3873,55099.3873,0.8029,9.47,1,1,1005,1565,0.4698,0.3947,0.7829,2.5337,1219.0191,0.772,"2025-12-02",264.8674,369.0667,264.8674,122.8071,301.75,5.7871,-85,-25,0.4573,0.6862,0,0.1728,655.535,113.2751,"20240430_Erie_WNS0904_2mm_Rep5_000014.tif",61,47,1116,1647,92.8261,449.825,"42BD513C-39FF-47EA-80FA-4F6B68E57B02",1,1537.6202,1.2614,66.7902,2392,0,0,0,0,76860,0.4466,"9:14:51","2025-12-02T09:14:51.427",0.2823,9730000,26300000,298.305,,,,"No","Copepod","Yes",,,0
36,"Copepoda",63795.7176,63795.7176,0.5832,9.47,1,1,212,1218,0,0.2281,0.5601,4.3846,1546.2607,0.6443,"2025-12-02",285.0039,472.1846,285.0039,109.9497,302.75,11.6892,-90,5,0.5529,0.6439,0,0.0855,992.6723,84.9223,"20240430_Erie_WNS0904_2mm_Rep5_000015.tif",82,47,198,0,105.4319,639.225,"DD00271F-BDBA-461A-BA99-C23A901A8446",1,2155.1892,1.3938,58.2331,2400,0,0,0,0,99106,0.0435,"9:14:52","2025-12-02T09:14:52.437",0.3964,12100000,55100000,288.835,,,,"No","Copepod","Yes",,,0
37,"Copepoda",46574.0695,46574.0695,0.7,9.47,1,1,468,1854,0.6325,0.5686,0.8935,1.7587,967.2961,0.914,"2025-12-02",243.5158,288.5717,243.5158,110.9811,308.563,3.2141,-85,15,0.2153,0.8228,0,0.3111,454.6095,141.4427,"20240430_Erie_WNS0904_2mm_Rep5_000015.tif",53,40,0,599,65.1325,374.065,"43D6C7E7-55C8-4A16-B3D4-2429283EBADB",1,1192.1044,1.2324,45.3692,2446,0,0,0,0,46700,0.6549,"9:14:58","2025-12-02T09:14:58.237",0.1561,7560000,12600000,213.075,,,,"No","Copepod","Yes",,,0
38,"Copepoda",34347.8936,34347.8936,0.6404,9.47,1,1,883,1663,0.5474,0.613,0.8157,1.6314,875.5896,0.932,"2025-12-02",209.1246,258.8464,209.1246,139.1935,313.469,2.7635,-90,0,0.1032,0.9065,0,0.3619,370.873,134.2047,"20240430_Erie_WNS0904_2mm_Rep5_000015.tif",50,34,794,1007,86.1712,336.185,"63C04986-58FA-486B-BE81-450D0B517FD0",1,1010.1554,1.1537,62.0863,2485,0,0,0,0,47825,0.5294,"9:15:03","2025-12-02T09:15:03.154",0.1921,4790000,9080000,184.665,,,,"No","Copepod","Yes",,,0
