"Particle.ID","Class","Area..ABD.","Area..Filled.","Aspect.Ratio","Calibration.Factor","Calibration.Image","Camera","Capture.X","Capture.Y","Circle.Fit","Circularity","Circularity..Hu.","Compactness","Convex.Perimeter","Convexity","Date","Diameter..ABD.","Diameter..ESD.","Diameter..FD.","Edge.Gradient","Elapsed.Time","Elongation","Feret.Angle.Max","Feret.Angle.Min","Fiber.Curl","Fiber.Straightness","Filter.Score","Geodesic.Aspect.Ratio","Geodesic.Length","Geodesic.Thickness","Image.File","Image.Height","Image.Width","Image.X","Image.Y","Intensity","Length","Original.Reference.ID","Particles.Per.Chain","Perimeter","Roughness","Sigma.Intensity","Source.Image","Sphere.Complement","Sphere.Count","Sphere.Unknown","Sphere.Volume","Sum.Intensity","Symmetry","Time","Timestamp","Transparency","Volume..ABD.","Volume..ESD.","Width","Genus","Family","Order","Nauplius","Group","Zooplankton","Partial","Final_ID","Check"
1,"Copepoda",42087.8542,42087.8542,0.3767,9.47,1,1,224,1165,0.2124,0.4747,0.6121,2.1067,1092.0851,0.9327,"2025-11-05",231.4906,328.556,231.4906,134.313,206.438,4.3906,-85,10,0.0858,0.9209,0,0.2278,509.0069,115.9317,"20240603_Erie_WNS0309_2mm_Rep7_150umSizeFilter_000003.tif",63,31,1057,1027,84.8389,468.765,"18FD716D-6865-45FE-B620-B95967057F7E",1,1249.8771,1.1445,59.2733,1636,0,0,0,0,55824,0.5401,"10:33:34","2025-11-05T10:33:34.594",0.2954,6500000,18600000,146.785,,,,"No","Copepod","Yes",,,0
2,"Copepoda",69036.2188,69036.2188,0.3698,9.47,1,1,774,487,0.207,0.5344,0.602,1.8713,1286.8641,0.9478,"2025-11-05",296.4787,390.9008,296.4787,95.5597,272.891,3.6011,-15,-90,0.0658,0.9382,0,0.2777,570.2713,158.3609,"20240603_Erie_WNS0309_2mm_Rep7_150umSizeFilter_000004.tif",37,70,935,468,93.5084,535.055,"C22E5BF1-DD08-4DAE-8B04-92AF1B59A9D4",1,1457.2644,1.1324,65.0081,2163,0,0,0,0,94163,0.5576,"10:34:41","2025-11-05T10:34:41.049",0.2415,13600000,31300000,213.075,,,,"No","Copepod","Yes",,,0
3,"Copepoda",72491.5788,72491.5788,0.2798,9.47,1,1,652,1199,0.0052,0.3439,0.4748,2.9077,1653.1372,0.8718,"2025-11-05",303.8077,507.9604,303.8077,88.7222,275.282,6.9917,30,-65,0.0649,0.9391,0,0.143,811.7894,116.1072,"20240603_Erie_WNS0309_2mm_Rep7_150umSizeFilter_000004.tif",64,77,284,596,109,762.335,"2DABDD7A-2AA5-4FA5-92B9-6124DC821A8A",1,1855.7933,1.1226,68.5132,2182,0,0,0,0,114559,0.6433,"10:34:43","2025-11-05T10:34:43.446",0.4019,14700000,68600000,175.195,,,,"No","Copepod","Yes",,,0
4,"Copepoda",81806.765,81806.765,0.6638,9.47,1,1,621,995,0.4491,0.5117,0.7859,1.9543,1288.4446,0.8471,"2025-11-05",322.7377,389.5854,322.7377,56.5517,292.688,3.8822,25,-65,0.4487,0.6903,0,0.2576,637.9603,164.3315,"20240603_Erie_WNS0309_2mm_Rep7_150umSizeFilter_000004.tif",51,60,873,766,129.6185,440.355,"986AED25-2F57-4AB2-82FB-608BAB3BAF04",1,1604.5835,1.2454,60.5009,2320,0,0,0,0,151524,0.5207,"10:35:00","2025-11-05T10:35:00.846",0.1716,17600000,3.1e+07,336.185,,,,"No","Copepod","Yes",,,0
5,"Copepoda",195561.4157,195561.4157,0.353,9.47,1,1,677,1074,0,0.2516,0.3588,3.9752,2968.6537,0.6354,"2025-11-05",498.9955,925.6925,498.9955,75.9866,257,10.3921,55,-35,0.197,0.8354,0,0.0962,1547.3361,148.8948,"20240603_Erie_WNS0309_2mm_Rep7_150umSizeFilter_000004.tif",127,107,504,315,109.1008,1292.655,"2EF8AA9E-D1F4-48B8-9143-A8BE7F001C9D",1,3392.4618,1.1428,68.3463,2037,0,0,0,0,280280,0.2311,"10:34:25","2025-11-05T10:34:25.162",0.4609,65100000,4.15e+08,459.295,,,,"No","Copepod","Yes",,,0
1,"Nauplius",34050.0053,34050.0053,0.6568,9.47,1,1,993,1800,0.5979,0.6893,0.8462,1.4508,829.251,0.9892,"2025-11-05",208.2158,243.5892,208.2158,135.6341,95.594,2.076,-80,40,0.0406,0.9609,0,0.4817,320.2857,154.2815,"20240603_Erie_WNS0309_2mm_Rep7_150umSizeFilter_000002.tif",45,38,993,253,77.0926,307.775,"4D230328-DB89-455B-926F-FFB38B401C53",1,949.1345,1.1446,54.0073,757,0,0,0,0,42478,0.5828,"10:31:43","2025-11-05T10:31:43.752",0.1452,4730000,7570000,175.195,,,,"Yes","Copepod","Yes",,,0
2,"Nauplius",19644.4292,19644.4292,0.976,9.47,1,1,364,1523,0.6421,0.6138,0.8469,1.6292,673.3558,0.9277,"2025-11-05",158.152,194.9239,158.152,190.0548,98.11,2.7554,-20,75,0.3861,0.7214,0,0.3629,295.3451,107.1877,"20240603_Erie_WNS0309_2mm_Rep7_150umSizeFilter_000002.tif",34,36,255,433,83.1246,213.075,"D8DC2487-A3A8-4095-AEBF-9377D47DAC54",1,805.0655,1.1956,57.9994,777,0,0,0,0,29343,0.5582,"10:31:46","2025-11-05T10:31:46.273",0.1886,2070000,3880000,165.725,,,,"Yes","Copepod","Yes",,,0
3,"Nauplius",36513.9856,36513.9856,0.8979,9.47,1,1,987,775,0.6622,0.7291,0.8907,1.3715,840.5998,0.9645,"2025-11-05",215.6178,248.3242,215.6178,94.1059,123.704,1.7311,5,45,0.1156,0.8963,0,0.5777,301.105,173.9382,"20240603_Erie_WNS0309_2mm_Rep7_150umSizeFilter_000002.tif",40,42,570,823,110.6575,269.895,"F70C4856-E225-4BC1-B3B0-228344FF237D",1,950.0863,1.1302,63.742,980,0,0,0,0,64624,0.5447,"10:32:11","2025-11-05T10:32:11.872",0.1317,5250000,8020000,222.545,,,,"Yes","Copepod","Yes",,,0
4,"Nauplius",20565.0535,20565.0535,0.7716,9.47,1,1,266,935,0.768,0.8435,0.9437,1.1855,621.0388,1,"2025-11-05",161.8154,177.8258,161.8154,86.082,129.641,1,-90,-45,0,1.1647,0,1,174.8176,174.8176,"20240603_Erie_WNS0309_2mm_Rep7_150umSizeFilter_000002.tif",36,31,234,990,111.265,203.605,"A8BDAAF7-5402-48D4-A96C-28310D435AE9",1,699.2705,1.126,54.0582,1027,0,0,0,0,40723,0.6838,"10:32:17","2025-11-05T10:32:17.799",0.09,2220000,2940000,146.785,,,,"Yes","Copepod","Yes",,,0
5,"Nauplius",23855.8669,23855.8669,0.738,9.47,1,1,608,1622,0.5403,0.458,0.8032,2.1836,767.8238,0.872,"2025-11-05",174.2821,224.9125,174.2821,114.3956,155.985,4.6446,-25,65,0.4343,0.6972,0,0.2153,414.2619,89.1912,"20240603_Erie_WNS0309_2mm_Rep7_150umSizeFilter_000002.tif",34,44,285,1663,112.0704,288.835,"E5ADE423-3F0A-4694-94C6-2F79F17B3E2C",1,1006.9063,1.3114,59.696,1236,0,0,0,0,46173,0.4232,"10:32:44","2025-11-05T10:32:44.154",0.2251,2770000,5960000,175.195,,,,"Yes","Copepod","Yes",,,0
