Level_1,Level_2,FolderName,size
,,149um>,12073
,,Brachionidae,3
,,Conochilus,34
,,Debris,14118
,,Duplicates,6
,,Eubosmina,280
,,Kellicottia,30
,,Keratella,46
,,Leptodora,2
,,MultiClass,120
,,Partial_Other,26
,,Phytoplankton,10
,,Plant_Matter,554
,,Ploima,1
,,Trichocerca,1
,,Unknown,775
,,Unknown_Small,920
,,Zooplankton,5
Not-Zooplankton,,Bubbles,38
Not-Zooplankton,,Exoskeleton,1123
Not-Zooplankton,,Fiber_Hairlike,5288
Not-Zooplankton,,Fiber_Squiggly,6455
Zooplankton,,Cladocera,776
Zooplankton,,Copepoda,455
Zooplankton,,Partial_Copepod,32
Zooplankton,,Rotifer,2056
Zooplankton,Cladocera,Bosminidae,2912
Zooplankton,Cladocera,Daphnia,2401
Zooplankton,Cladocera,Partial_Daphnia,55
Zooplankton,Copepoda,Calanoid,416
Zooplankton,Copepoda,Cyclopoid,1362
Zooplankton,Copepoda,Harpacticoid,15
Zooplankton,Copepoda,Nauplius_Copepod,4708
